Year,Rep,Blk,Entry,Treatment,Accession,Name,Main_plot,x,y,salinity_0_6,salinity_6_24,SLA_leaf_area,SLA_leaf_wt,standct_early_row1,standct_early_row2,standct_late_row1,standct_late_row2,plants_m2,X_4_plant_bloom_Julian,flower,height_front,height_back,height,lodging,matu,maturity,survivors_plot,survivor_density,survivor_perc_indian,survivor_perc,testweight_g,seed_200wt_g,seed_ct_200wt,dirty_wt_kg,clean_wt_kg,oil_perc,Comments,Harvest_date
2016,1,1,111,Saline,Ames 31807,UGA-SAM1-115,11003,12.5,400,4.42,4.62,742.63,4.78,2,5,NA,NA,0.755456555,229,78,124,117,120.5,1,287,136,5,0.539611825,71.42857143,5.555555556,200.66,7.484,200,0.57,0.39,38.96150474,,NA
2016,1,1,115,Control,Ames 31811,UGA-SAM1-119,4002,7.5,115,0,0,939.54,4.87,6,7,NA,NA,1.402990745,230,79,78,84,81,2,287,136,13,NA,NA,14.44444444,NA,6.342,200,0.12,0.05,34.43317899,,NA
2016,1,1,115,Control,Ames 31812,UGA-SAM1-120,3006,7.5,115,0,0,899.77,5.22,15,8,NA,NA,2.482214394,232,81,84,92,88,4,287,136,23,NA,NA,25.55555556,184.42,7.19,200,0.46,0.13,34.50457863,,NA
2016,1,1,116,Saline,Ames 31812,UGA-SAM1-120,11005,22.5,400,4.6,4.74,862.35,5,13,12,NA,NA,2.698059124,232,81,82,103,92.5,1,272,121,21,2.266369664,84,23.33333333,175.22,5.861,200,0.33,0.21,40.09749081,,NA
2016,1,1,117,Control,Ames 31813,UGA-SAM1-121,3008,37.5,80,0,0,967.33,6.27,10,13,NA,NA,2.482214394,228,77,94,132,113,1,287,136,23,NA,NA,25.55555556,192.49,5.509,200,0.84,0.36,33.91948984,,NA
2016,1,1,123,Saline,Ames 31819,UGA-SAM1-127,12007,32.5,435,5.1,5.13,1034.89,6.18,12,9,NA,NA,2.266369664,228,77,107,107,107,1,272,121,16,1.726757839,76.19047619,17.77777778,155.29,16.087,200,0.67,0.52,21.14023452,,NA
2016,1,1,127,Saline,Ames 31823,UGA-SAM1-131,11009,42.5,400,5.1,5.23,920.95,4.77,6,9,NA,NA,1.618835475,221,70,71,84,77.5,1,287,136,11,1.187146015,73.33333333,12.22222222,173.17,7.875,200,0.48,0.41,34.87997019,,NA
2016,1,1,138,Saline,Ames 31834,UGA-SAM1-142,12009,42.5,435,5.38,5.41,813.97,4.53,14,11,NA,NA,2.698059124,228,77,110,108,109,1,287,136,22,2.374292029,88,24.44444444,202.13,9.119,200,0.44,0.26,37.38785718,,NA
2016,1,1,142,Saline,Ames 31838,UGA-SAM1-146,12004,17.5,435,4.78,4.9,850.38,5.36,13,2,NA,NA,1.618835475,226,75,85,78,81.5,1,272,121,15,1.618835475,100,16.66666667,150.73,12.376,200,0.68,0.37,26.85892667,,NA
2016,1,1,147,Control,Ames 31843,UGA-SAM1-151,4007,32.5,115,0,0,1195.02,8.68,17,17,NA,NA,3.669360409,227,76,116,117,116.5,1,287,136,34,NA,NA,37.77777778,186.95,7.261,200,0.95,0.61,34.09163431,,NA
2016,1,1,174,Saline,Ames 31870,UGA-SAM1-178,11006,27.5,400,4.71,4.83,779.14,4.65,19,12,NA,NA,3.345593314,221,70,107,83,95,1,272,121,24,2.590136759,77.41935484,26.66666667,217.15,12.509,200,1,0.92,40.38909884,,NA
2016,1,1,180,Control,Ames 31876,UGA-SAM1-184,3007,32.5,80,0,0,1011.48,6.83,20,17,NA,NA,3.993127504,221,70,114,139,126.5,1,277,126,37,NA,NA,41.11111111,184.24,9.798,200,1.06,0.71,32.06036292,,NA
2016,1,1,185,Control,Ames 31882,UGA-SAM1-190,4009,42.5,115,0,0,1052.5,5.92,11,15,NA,NA,2.805981489,227,76,124,116,120,4,263,112,26,NA,NA,28.88888889,182.11,9.811,200,0.6,0.39,35.1428343,,NA
2016,1,1,189,Control,Ames 31886,UGA-SAM1-194,4003,12.5,115,0,0,1129.77,7.44,6,10,NA,NA,1.726757839,230,79,159,63,111,7,287,136,16,NA,NA,17.77777778,142.94,9.185,200,0.31,0.18,31.6254464,,NA
2016,1,1,201,Saline,Ames 31899,UGA-SAM1-207,11010,47.5,400,5.24,5.4,769.81,5.11,11,5,NA,NA,1.726757839,232,81,88,107,97.5,1,287,136,16,1.726757839,100,17.77777778,215.67,5.927,200,0.16,0.11,36.38236703,,NA
2016,1,1,207,Saline,Ames 31905,UGA-SAM1-213,12002,7.5,435,4.64,4.84,668.29,4.07,14,8,NA,NA,2.374292029,227,76,87,84,85.5,1,277,126,17,1.834680204,77.27272727,18.88888889,229.55,5.851,200,0.5,0.33,40.74002077,,NA
2016,1,1,209,Saline,Ames 31907,UGA-SAM1-215,11004,17.5,400,4.5,4.67,659.27,3.97,17,15,NA,NA,3.453515679,228,77,80,105,92.5,2,287,136,30,3.237670949,93.75,33.33333333,217.45,6.975,200,0.76,0.51,36.68086352,,NA
2016,1,1,230,Control,Ames 31929,UGA-SAM1-237,3002,7.5,80,0,0,1010.11,6.62,7,6,NA,NA,1.402990745,226,75,123,134,128.5,4,272,121,13,NA,NA,14.44444444,181.92,8.877,200,0.91,0.58,33.99856425,,NA
2016,1,1,248,Control,Ames 31948,UGA-SAM1-256,4005,22.5,115,0,0,1467.95,7.16,10,9,NA,NA,2.050524934,242,91,163,137,150,9,277,126,19,NA,NA,21.11111111,191.04,12.118,200,0.15,0.1,34.84915516,,NA
2016,1,1,252,Saline,Ames 31952,UGA-SAM1-260,12005,22.5,435,4.88,4.95,1060.4,8.51,10,1,NA,NA,1.187146015,230,79,103,105,104,1,287,136,9,0.971301285,81.81818182,10,135.64,8.441,200,0.17,0.11,26.71934764,,NA
