Year,Treatment,Rep,Blk,Entry,x,y,salinity0_6,salinity6_24
2016,Saline,,,,27.5,557.5,4.22,6.72
2016,Saline,,,,117.5,557.5,9.51,7.56
2016,Saline,,,,207.5,557.5,9.59,9.35
2016,Saline,,,,297.5,557.5,4.28,8.06
2016,Saline,,,,387.5,557.5,7.66,8.68
2016,Saline,,,,477.5,557.5,11.19,6.61
2016,Saline,,,,567.5,557.5,13.21,7.06
2016,Saline,,,,72.5,487.5,7.1,6.14
2016,Saline,,,,162.5,487.5,6.73,8.91
2016,Saline,,,,252.5,487.5,6.87,9.3
2016,Saline,,,,342.5,487.5,10.23,9.11
2016,Saline,,,,432.5,487.5,13.19,8.84
2016,Saline,,,,522.5,487.5,12.01,10.73
2016,Saline,,,,27.5,417.5,4.34,4.72
2016,Saline,,,,117.5,417.5,7.71,8.61
2016,Saline,,,,207.5,417.5,9.5,7.93
2016,Saline,,,,297.5,417.5,9.89,10
2016,Saline,,,,387.5,417.5,7.94,9.7
2016,Saline,,,,477.5,417.5,9.99,9.29
2016,Saline,,,,567.5,417.5,9.78,7.97
2016,Saline,,,,72.5,347.5,5.69,5.45
2016,Saline,,,,162.5,347.5,5.85,5.68
2016,Saline,,,,252.5,347.5,4.39,6.21
2016,Saline,,,,342.5,347.5,6.62,5.95
2016,Saline,,,,432.5,347.5,4.77,6.28
2016,Saline,,,,522.5,347.5,4.08,6.21
2016,control,,,,27.5,237.5,0.94,1.56
2016,control,,,,117.5,237.5,0.93,2.59
2016,control,,,,207.5,237.5,1.36,1.13
2016,control,,,,297.5,237.5,0.91,0.58
2016,control,,,,387.5,237.5,0.74,0.85
2016,control,,,,477.5,237.5,0.96,0.91
2016,control,,,,567.5,237.5,0.74,0.52
2016,control,,,,72.5,167.5,0.71,0.52
2016,control,,,,162.5,167.5,3.8,3.62
2016,control,,,,252.5,167.5,2.18,1.17
2016,control,,,,342.5,167.5,0.95,0.93
2016,control,,,,432.5,167.5,0.7,0.58
2016,control,,,,522.5,167.5,0.61,0.48
2017W,,,,,27.5,272.5,5.81,7.85
2017W,,,,,72.5,272.5,7.32,5.59
2017W,,,,,117.5,272.5,6.96,8.11
2017W,,,,,162.5,272.5,11.07,10.4
2017W,,,,,207.5,272.5,10.5,8.33
2017W,,,,,252.5,272.5,14.83,11.28
2017W,,,,,297.5,272.5,10.81,9.7
2017W,,,,,342.5,272.5,11.78,10.18
2017W,,,,,387.5,272.5,6.16,7.63
2017W,,,,,72.5,202.5,3.71,6.97
2017W,,,,,117.5,202.5,5.45,7.19
2017W,,,,,162.5,202.5,6.39,8.24
2017W,,,,,207.5,202.5,8.45,9.11
2017W,,,,,252.5,202.5,6.09,7.09
2017W,,,,,297.5,202.5,8.2,8.58
2017W,,,,,342.5,202.5,5.89,8.07
2017W,,,,,387.5,202.5,2.74,3.39
2017W,,,,,27.5,97.5,0.72,0.69
2017W,,,,,72.5,97.5,0.69,0.68
2017W,,,,,117.5,97.5,0.74,2.72
2017W,,,,,162.5,97.5,1.48,3.72
2017W,,,,,207.5,97.5,2.35,3.49
2017W,,,,,252.5,97.5,0.64,3.13
2017W,,,,,297.5,97.5,0.57,1.34
2017W,,,,,342.5,97.5,0.68,1.2
2017W,,,,,387.5,97.5,1.58,1.97
2017W,,,,,72.5,27.5,1.17,0.68
2017W,,,,,117.5,27.5,0.76,0.56
2017W,,,,,162.5,27.5,1.03,0.6
2017W,,,,,207.5,27.5,0.59,0.82
2017W,,,,,252.5,27.5,2.04,3.35
2017W,,,,,297.5,27.5,0.66,1.2
2017W,,,,,342.5,27.5,0.76,0.58
2017W,,,,,387.5,27.5,0.66,0.72
2017H,,,,,432.5,27.5,1.18,2.39
2017H,,,,,27.5,97.5,0.76,0.61
2017H,,,,,72.5,97.5,1.52,0.7
2017H,,,,,117.5,97.5,0.84,0.58
2017H,,,,,162.5,97.5,0.7,0.63
2017H,,,,,207.5,97.5,1.02,1.58
2017H,,,,,252.5,97.5,3.09,3.39
2017H,,,,,297.5,97.5,6.83,5.86
2017H,,,,,342.5,97.5,5.44,5.27
2017H,,,,,387.5,97.5,2.64,2.87
2017H,,,,,432.5,97.5,1.86,2.07
2017H,,,,,477.5,97.5,3.93,5.59
2017H,,,,,27.5,167.5,1.54,1.02
2017H,,,,,72.5,167.5,0.92,0.81
2017H,,,,,117.5,167.5,1.6,1.79
2017H,,,,,162.5,167.5,0.83,0.78
2017H,,,,,207.5,167.5,1.81,2.74
2017H,,,,,252.5,167.5,4.08,6.03
2017H,,,,,297.5,167.5,3.84,5.78
2017H,,,,,342.5,167.5,2.45,3.94
2017H,,,,,387.5,167.5,3.87,4.24
2017H,,,,,432.5,167.5,3.09,4.4
2017H,,,,,477.5,167.5,2.04,2.06
2017H,,,,,27.5,237.5,0.84,0.65
2017H,,,,,72.5,237.5,0.92,1.07
2017H,,,,,117.5,237.5,1.09,0.67
2017H,,,,,162.5,237.5,0.88,0.7
2017H,,,,,207.5,237.5,0.91,1.05
2017H,,,,,252.5,237.5,1.07,1.86
2017H,,,,,297.5,237.5,1.01,1.86
2017H,,,,,342.5,237.5,1.96,2.96
2017H,,,,,387.5,237.5,0.84,1.07
2017H,,,,,432.5,237.5,3.69,4.97
2017H,,,,,477.5,237.5,3.21,2.24
2017H,,,,,27.5,342.5,1.48,1.3
2017H,,,,,72.5,342.5,6.84,5.78
2017H,,,,,117.5,342.5,6.46,7.32
2017H,,,,,162.5,342.5,6.95,7.89
2017H,,,,,207.5,342.5,6.15,7
2017H,,,,,252.5,342.5,8.08,7.06
2017H,,,,,297.5,342.5,7.59,4.68
2017H,,,,,342.5,342.5,5.67,6.18
2017H,,,,,387.5,342.5,6.96,6.93
2017H,,,,,432.5,342.5,7.81,6.31
2017H,,,,,477.5,342.5,5.07,4.26
2017H,,,,,27.5,412.5,9.3,6.37
2017H,,,,,72.5,412.5,7.25,5.24
2017H,,,,,117.5,412.5,8.88,5.83
2017H,,,,,162.5,412.5,10.08,8.53
2017H,,,,,207.5,412.5,11.28,8.95
2017H,,,,,252.5,412.5,12.36,9.18
2017H,,,,,297.5,412.5,11.01,6.61
2017H,,,,,342.5,412.5,12.85,10.36
2017H,,,,,387.5,412.5,12.5,9.25
2017H,,,,,432.5,412.5,10.93,7.44
2017H,,,,,477.5,412.5,9.23,4.81
2017H,,,,,522.5,412.5,9.59,6.49
2017H,,,,,567.5,412.5,11.73,7.79
2017H,,,,,612.5,412.5,10.11,7.84
2017H,,,,,117.5,482.5,12.7,7.63
2017H,,,,,162.5,482.5,11.07,7.51
2017H,,,,,207.5,482.5,11.56,7.47
2017H,,,,,252.5,482.5,15.93,6.92
2017H,,,,,297.5,482.5,13.02,9.36
2017H,,,,,567.5,482.5,13.05,8.92
2017H,,,,,612.5,482.5,16.52,10.57
2017H,,,,,657.5,482.5,15.78,9.36
2017H,,,,,702.5,482.5,11.9,9.81
