"Year","Rep","Blk","Treatment","Name","x","y","salinity_0_6","salinity_6_24","salt_avg","oil_perc"
"2016","1c","1c","Control","SAM119",7.5,115,0,0,0,34.43317899
"2016","1c","1c","Control","SAM120",7.5,115,0,0,0,34.50457863
"2016","1s","1s","Saline","SAM120",22.5,400,4.6,4.74,4.67,40.09749081
"2016","1c","1c","Control","SAM121",37.5,80,0,0,0,33.91948984
"2016","1s","1s","Saline","SAM127",32.5,435,5.1,5.13,5.12,21.14023452
"2016","1s","1s","Saline","SAM131",42.5,400,5.1,5.23,5.16,34.87997019
"2016","1s","1s","Saline","SAM142",42.5,435,5.38,5.41,5.39,37.38785718
"2016","1s","1s","Saline","SAM146",17.5,435,4.78,4.9,4.84,26.85892667
"2016","1c","1c","Control","SAM151",32.5,115,0,0,0,34.09163431
"2016","1s","1s","Saline","SAM178",27.5,400,4.71,4.83,4.77,40.38909884
"2016","1c","1c","Control","SAM184",32.5,80,0,0,0,32.06036292
"2016","1c","1c","Control","SAM190",42.5,115,0,0,0,35.1428343
"2016","1c","1c","Control","SAM194",12.5,115,0,0,0,31.6254464
"2016","1s","1s","Saline","SAM207",47.5,400,5.24,5.4,5.32,36.38236703
"2016","1s","1s","Saline","SAM213",7.5,435,4.64,4.84,4.74,40.74002077
"2016","1s","1s","Saline","SAM215",17.5,400,4.5,4.67,4.58,36.68086352
"2016","1c","1c","Control","SAM237",7.5,80,0,0,0,33.99856425
"2016","1c","1c","Control","SAM256",22.5,115,0,0,0,34.84915516
"2016","1s","1s","Saline","SAM260",22.5,435,4.88,4.95,4.92,26.71934764
"2016","1s","1s","Saline","SAM264",32.5,400,4.83,4.94,4.88,38.30429918
"2016","1s","1s","Saline","SAM271",37.5,400,4.96,5.08,5.02,31.126416
"2016","1c","1c","Control","SAM283",27.5,115,0,0,0,22.8860968
"2016","1c","1c","Control","SAM043",37.5,115,0,0,0,25.52014224
"2016","1c","1c","Control","SAM052",47.5,80,0,0,0,33.10350314
"2016","1s","1s","Saline","SAM054",27.5,435,4.98,5.03,5.01,45.13225393
"2016","1s","1s","Saline","SAM061",37.5,435,5.24,5.26,5.25,32.2960081
"2016","1c","1c","Control","SAM062",17.5,115,0,0,0,36.05035971
"2016","1c","1c","Control","SAM066",22.5,80,0,0,0,33.21619394
"2016","1c","1c","Control","SAM009",42.5,80,0,0,0,29.17035662
"2016","1s","1s","Saline","SAM102",7.5,400,4.35,4.58,4.46,37.27103351
"2016","1c","10c","Control","SAM111",102.5,185,1.31,1.75,1.53,23.6051811
"2016","1c","10c","Control","SAM131",97.5,185,1.22,1.6,1.41,38.78217318
"2016","1s","10s","Saline","SAM014",132.5,470,7.53,8.29,7.91,33.81855923
"2016","1c","10c","Control","SAM137",127.5,150,1.57,2.23,1.9,38.83643937
"2016","1c","10c","Control","SAM144",132.5,185,1.94,2.62,2.28,41.35226269
"2016","1c","10c","Control","SAM158",112.5,150,1.21,1.73,1.47,27.64165554
"2016","1c","10c","Control","SAM161",97.5,150,0.87,1.24,1.05,37.83264673
"2016","1c","10c","Control","SAM191",117.5,185,1.61,2.2,1.91,33.40506295
"2016","1c","10c","Control","SAM196",107.5,150,1.09,1.57,1.33,35.06974507
"2016","1c","10c","Control","SAM203",122.5,150,1.45,2.06,1.75,30.05108285
"2016","1s","10s","Saline","SAM021",127.5,505,7.77,7.9,7.84,36.74554795
"2016","1c","10c","Control","SAM210",107.5,185,1.41,1.9,1.65,43.64082223
"2016","1c","10c","Control","SAM223",102.5,150,0.98,1.4,1.19,32.47214967
"2016","1s","10s","Saline","SAM227",122.5,505,7.74,7.76,7.75,20.2491056
"2016","1s","10s","Saline","SAM232",102.5,470,7.22,7.39,7.3,40.49269733
"2016","1c","10c","Control","SAM233",117.5,150,1.33,1.9,1.61,39.89998395
"2016","1s","10s","Saline","SAM237",112.5,505,7.63,7.47,7.55,32.1136418
"2016","1c","10c","Control","SAM277",127.5,185,1.83,2.48,2.16,39.15273282
"2016","1s","10s","Saline","SAM279",112.5,470,7.36,7.73,7.54,36.64263481
"2016","1s","10s","Saline","SAM283",117.5,505,7.69,7.61,7.65,18.34196891
"2016","1c","10c","Control","SAM287",137.5,150,1.82,2.54,2.18,37.81492378
"2016","1s","10s","Saline","SAM043",137.5,470,7.55,8.41,7.98,23.55149105
"2016","1c","10c","Control","SAM049",112.5,185,1.5,2.05,1.77,40.25642388
"2016","1c","10c","Control","SAM054",122.5,185,1.71,2.34,2.02,44.00144893
"2016","1s","10s","Saline","SAM007",97.5,505,7.39,7.02,7.2,39.00583083
"2016","1s","10s","Saline","SAM072",102.5,505,7.49,7.17,7.33,28.22806691
